scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg3,3.86,245246,247742,245120,245.12,3.77,3.24,7.6,59.2,26.22,6,2,1,0,59.5,986,5,0,0,941
scenario 1,alg3,3.85,245120,247549,245198,245.2,3.73,3.2,7.56,59.15,25.7,7,2,1,0,59.49,986,4,0,0,939
scenario 1,alg3,3.84,245198,247716,245398,245.4,3.8,3.29,7.64,59.24,27.3,8,2,0,0,59.56,985,4,1,0,945
scenario 1,alg3,3.84,245398,247632,245197,245.2,3.78,3.28,7.63,59.2,26.5,8,0,0,0,59.46,986,4,2,0,938
scenario 1,alg3,3.89,245197,247791,245201,245.2,3.85,3.33,7.68,59.19,27.12,8,0,0,0,59.45,987,3,2,0,935
scenario 1,alg3,3.9,245201,247994,245462,245.46,3.79,3.25,7.6,59.15,25.25,7,1,0,0,59.43,990,1,1,0,935
scenario 1,alg3,3.87,245462,248355,244877,244.88,3.81,3.27,7.62,59.04,27.42,9,2,1,0,59.42,985,2,1,0,930
scenario 1,alg3,3.95,244877,247822,245718,245.72,3.82,3.28,7.64,59.31,28.0,6,2,0,0,59.56,988,2,2,0,947
scenario 1,alg3,3.93,245718,247947,244959,244.96,3.83,3.3,7.65,59.09,26.33,7,1,0,1,59.39,988,2,1,0,931
scenario 1,alg3,3.95,244959,247960,244587,244.59,3.84,3.3,7.65,59.02,26.2,7,2,0,1,59.36,987,1,2,0,926
scenario 1,alg3,3.9,244587,247779,244419,244.42,3.81,3.25,7.6,59.05,26.92,5,4,2,1,59.45,985,2,1,0,931
scenario 1,alg3,3.89,244419,247297,244357,244.36,3.8,3.24,7.59,59.01,26.62,6,5,1,1,59.44,984,2,1,0,932
scenario 1,alg3,3.88,244357,247121,244375,244.38,3.82,3.28,7.63,59.03,27.15,7,5,1,0,59.45,983,2,1,1,934
scenario 1,alg3,3.93,244375,247021,244027,244.03,3.86,3.31,7.66,59.04,28.12,7,1,0,0,59.29,983,6,2,1,922
scenario 1,alg3,3.89,244027,247256,244603,244.6,3.82,3.3,7.64,59.21,28.0,4,2,0,0,59.4,985,7,1,1,934
scenario 1,alg3,3.89,244603,247296,244900,244.9,3.8,3.27,7.62,59.28,25.33,3,2,1,0,59.48,986,7,1,0,939
scenario 1,alg3,3.95,244900,247431,244545,244.54,3.87,3.35,7.71,59.08,26.0,7,3,1,0,59.45,983,6,0,0,932
scenario 1,alg3,3.89,244545,247332,244253,244.25,3.87,3.34,7.69,59.01,25.92,9,3,1,0,59.45,982,4,1,0,932
scenario 1,alg3,3.9,244253,246974,244293,244.29,3.84,3.31,7.66,58.99,27.08,9,3,1,0,59.41,983,3,1,0,928
scenario 1,alg3,3.89,244293,247270,244178,244.18,3.83,3.3,7.65,59.05,26.18,8,3,0,0,59.42,982,5,2,0,930
scenario 1,alg3,3.91,244178,247015,243571,243.57,3.91,3.38,7.74,58.88,27.21,10,4,0,0,59.33,980,4,2,0,920
scenario 1,alg3,3.89,243571,246809,243687,243.69,3.88,3.36,7.71,59.08,26.29,5,2,0,0,59.31,984,6,3,0,922
scenario 1,alg3,3.9,243687,246984,243519,243.52,3.88,3.32,7.67,58.94,26.18,8,3,0,0,59.3,981,6,2,0,918
scenario 1,alg3,3.9,243519,246882,243765,243.76,3.85,3.31,7.66,58.93,25.08,7,6,0,0,59.37,982,5,0,0,923
scenario 1,alg3,3.89,243765,246931,243977,243.98,3.82,3.28,7.65,58.9,27.41,10,7,0,0,59.44,980,3,0,0,927
scenario 1,alg3,3.91,243977,246912,243694,243.69,3.88,3.33,7.68,58.98,27.18,8,3,0,0,59.33,981,7,1,0,923
scenario 1,alg3,3.9,243694,246822,243627,243.63,3.84,3.31,7.66,58.97,27.38,10,3,0,0,59.38,978,9,0,0,927
scenario 1,alg3,3.85,243627,246432,243373,243.37,3.81,3.27,7.62,59.05,26.9,8,2,0,0,59.38,979,10,1,0,924
scenario 1,alg3,3.86,243373,246421,243466,243.47,3.83,3.3,7.65,58.79,26.59,12,5,0,0,59.35,980,3,0,0,919
scenario 1,alg3,3.84,243466,246808,243753,243.75,3.83,3.28,7.63,58.93,27.07,11,2,1,0,59.38,980,6,0,0,924
scenario 1,alg3,3.82,243753,246839,243898,243.9,3.84,3.29,7.63,58.91,27.57,11,3,0,0,59.35,981,4,1,0,924
scenario 1,alg3,3.81,243898,246988,244337,244.34,3.81,3.27,7.62,59.1,26.12,5,3,0,0,59.37,985,6,1,0,929
scenario 1,alg3,3.8,244337,247298,244703,244.7,3.8,3.25,7.61,59.13,28.0,7,4,0,0,59.48,984,4,1,0,934
scenario 1,alg3,3.87,244703,247444,244939,244.94,3.83,3.27,7.62,59.17,25.75,6,2,0,0,59.44,986,6,0,0,936
scenario 1,alg3,3.87,244939,247622,245005,245.0,3.84,3.28,7.63,59.17,25.33,7,2,0,0,59.48,984,7,0,0,939
scenario 1,alg3,3.87,245005,247437,245230,245.23,3.83,3.28,7.63,59.23,28.17,9,3,0,0,59.61,982,6,0,0,944
scenario 1,alg3,3.88,245230,247455,244034,244.03,3.87,3.33,7.68,58.93,25.62,12,1,0,0,59.37,982,5,0,0,926
scenario 1,alg3,3.88,244034,247080,244549,244.55,3.84,3.31,7.66,59.01,26.08,11,1,0,0,59.41,983,5,0,0,931
scenario 1,alg3,3.87,244549,247374,244789,244.79,3.82,3.29,7.64,59.13,28.09,10,1,0,0,59.47,982,7,0,0,934
scenario 1,alg3,3.87,244789,247466,244675,244.68,3.81,3.28,7.63,59.07,26.82,9,2,0,0,59.43,985,4,0,0,933
scenario 1,alg3,3.85,244675,247488,244929,244.93,3.81,3.27,7.62,59.14,26.9,8,2,0,0,59.47,985,5,0,0,936
scenario 1,alg3,3.84,244929,247615,245943,245.94,3.78,3.22,7.57,59.27,27.1,10,0,0,0,59.6,985,5,0,0,950
scenario 1,alg3,3.9,245943,247907,245795,245.79,3.8,3.25,7.61,59.31,26.43,7,0,0,0,59.54,988,4,1,0,946
scenario 1,alg3,3.89,245795,248072,245702,245.7,3.82,3.28,7.63,59.22,27.6,8,2,0,0,59.54,987,3,0,0,942
scenario 1,alg3,3.86,245702,248170,244986,244.99,3.8,3.28,7.63,59.06,25.64,9,2,0,0,59.43,987,1,1,0,935
scenario 1,alg3,3.83,244986,247748,244918,244.92,3.8,3.27,7.62,59.05,27.27,10,1,0,0,59.4,986,1,1,1,931
scenario 1,alg3,3.84,244918,247857,244816,244.82,3.8,3.26,7.61,59.13,28.67,9,0,0,0,59.41,986,3,1,1,931
scenario 1,alg3,3.87,244816,247755,245326,245.33,3.85,3.33,7.69,59.17,26.22,6,2,1,0,59.47,989,2,0,0,939
scenario 1,alg3,3.85,245326,247969,244648,244.65,3.79,3.27,7.63,59.04,25.64,7,3,1,0,59.41,986,3,0,0,931
scenario 1,alg3,3.85,244648,247560,244845,244.84,3.8,3.25,7.61,59.06,27.47,11,3,0,1,59.54,982,3,0,0,940
scenario 1,alg3,3.85,244845,247194,244695,244.69,3.78,3.25,7.61,59.12,26.0,8,2,0,1,59.48,984,5,0,0,938
scenario 1,alg3,3.84,244695,247205,244439,244.44,3.84,3.3,7.65,59.05,26.83,9,2,0,1,59.44,983,5,0,0,932
scenario 1,alg3,3.84,244439,247218,244650,244.65,3.81,3.27,7.63,59.12,27.55,8,2,0,1,59.47,984,5,0,0,935
scenario 1,alg3,3.8,244650,247337,244602,244.6,3.79,3.26,7.62,59.08,26.6,10,0,0,0,59.41,984,5,0,1,931
scenario 1,alg3,3.82,244602,247480,244808,244.81,3.83,3.29,7.65,59.13,26.0,8,0,0,0,59.4,987,4,0,1,933
scenario 1,alg3,3.81,244808,247675,245229,245.23,3.78,3.25,7.61,59.25,27.71,7,0,0,0,59.47,987,5,0,1,937
scenario 1,alg3,3.84,245229,247937,245122,245.12,3.81,3.28,7.64,59.1,26.27,8,2,1,0,59.47,988,1,0,0,937
scenario 1,alg3,3.81,245122,247842,245799,245.8,3.8,3.27,7.63,59.18,25.7,8,0,2,0,59.52,989,1,0,0,943
scenario 1,alg3,3.82,245799,248243,245927,245.93,3.81,3.28,7.64,59.25,27.5,7,1,2,0,59.57,988,2,0,0,949
scenario 1,alg3,3.82,245927,248014,246112,246.11,3.8,3.27,7.63,59.36,29.0,4,1,1,0,59.55,990,3,1,0,949
scenario 1,alg3,3.86,246112,248271,246006,246.01,3.79,3.26,7.62,59.4,24.67,2,1,0,0,59.5,992,3,2,0,947
scenario 1,alg3,3.89,246006,248344,245433,245.43,3.81,3.29,7.65,59.23,26.62,6,2,0,0,59.49,988,1,2,1,939
scenario 1,alg3,3.83,245433,248035,244889,244.89,3.81,3.28,7.63,59.04,26.54,9,3,1,0,59.47,985,1,1,0,934
scenario 1,alg3,3.81,244889,247628,245182,245.18,3.77,3.24,7.6,59.15,26.08,5,6,1,0,59.55,986,2,0,0,944
scenario 1,alg3,3.85,245182,247426,245044,245.04,3.82,3.27,7.63,59.1,27.75,6,5,1,0,59.49,986,2,0,0,937
