scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 2,alg1,17.19,455177,462357,462357,231.18,7.45,3.21,7.58,58.38,25.42,13,43,3,0,59.38,1830,13,2,96,1812
scenario 2,alg1,16.79,462357,464018,464018,232.01,7.19,3.19,7.55,58.87,28.51,21,43,1,0,59.89,1833,3,3,96,1816
scenario 2,alg1,14.52,464018,465977,465977,232.99,6.14,3.23,7.58,57.62,24.36,17,2,97,0,59.66,1839,43,2,0,1830
scenario 2,alg1,16.08,465977,467274,467274,233.64,6.73,3.21,7.57,57.82,25.54,13,2,96,0,59.71,1843,43,3,0,1833
scenario 2,alg1,15.48,467274,468590,463118,231.56,6.55,3.26,7.62,58.04,29.1,5,9,94,10,59.86,1828,51,2,1,1810
scenario 2,alg1,17.01,463118,465644,465644,232.82,7.26,3.24,7.6,58.15,24.42,50,5,1,10,59.3,1831,7,95,1,1816
scenario 2,alg1,16.85,465644,467658,467658,233.83,7.05,3.24,7.6,58.35,26.15,51,5,1,10,59.47,1831,8,93,1,1828
scenario 2,alg1,16.35,467658,469109,469109,234.55,6.86,3.25,7.6,59.07,29.39,51,2,1,0,59.89,1833,9,94,10,1831
scenario 2,alg1,16.45,469109,470970,470970,235.49,6.9,3.25,7.61,57.79,24.2,7,95,1,0,59.61,1881,5,1,10,1831
scenario 2,alg1,16.77,470970,474019,474019,237.01,7.03,3.21,7.57,57.96,25.13,8,93,1,0,59.73,1882,5,1,10,1833
scenario 2,alg1,15.75,474019,477076,477076,238.54,6.5,3.18,7.53,58.23,29.17,9,94,10,0,59.97,1884,2,1,0,1881
scenario 2,alg1,15.89,477076,478728,478728,239.36,6.54,3.2,7.56,59.13,25.62,5,1,10,0,59.4,1888,95,1,0,1882
scenario 2,alg1,13.61,478728,479748,424441,212.22,5.99,3.23,7.59,55.54,25.04,9,25,14,178,59.43,1646,124,2,2,1634
scenario 2,alg1,14.83,424441,427249,427249,213.62,6.74,3.23,7.59,55.74,24.96,41,6,4,177,59.7,1651,107,13,1,1642
