net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
8.93,499276,527081,508197,127.05,3.19,3.29,7.64,46.9,26.62,174,177,491,434,56.39,1812,141,179,592,1545
8.72,508197,531492,505294,126.32,3.16,3.29,7.64,47.19,26.1,183,158,508,367,56.4,1798,138,224,624,1517
9.04,505294,529534,509124,127.28,3.31,3.31,7.66,46.52,26.15,165,162,563,398,56.19,1807,171,308,426,1527
9.37,509124,533009,506748,126.69,3.36,3.29,7.65,47.2,26.36,144,158,478,457,56.53,1804,173,426,360,1511
9.47,506748,531425,473903,118.48,3.72,3.29,7.64,45.04,25.74,142,175,466,608,55.33,1777,152,407,273,1264
9.13,473903,510029,480935,120.23,3.5,3.29,7.64,44.79,25.8,169,235,309,714,55.33,1749,148,402,274,1175
8.45,480935,520179,498322,124.58,3.09,3.28,7.63,45.97,26.77,169,324,269,672,56.71,1738,147,355,326,1510
8.42,498322,520422,499288,124.82,3.1,3.27,7.63,46.79,26.46,165,360,233,483,55.94,1737,166,377,479,1491
8.48,499288,523208,503164,125.79,3.07,3.27,7.62,47.41,26.37,153,367,244,380,55.84,1754,225,286,591,1496
9.35,503164,527194,508426,127.11,3.37,3.28,7.64,48.21,26.46,150,327,277,347,56.47,1759,308,250,582,1501
9.14,508426,532730,512596,128.15,3.21,3.28,7.64,47.05,26.0,178,342,414,301,56.46,1746,349,225,445,1514
9.31,512596,537128,494811,123.7,3.53,3.28,7.64,45.44,25.67,224,252,469,466,56.22,1716,325,217,331,1385
9.56,494811,524627,488595,122.15,3.57,3.28,7.64,44.37,26.04,295,233,433,580,55.86,1695,276,219,269,1242
9.39,488595,525151,497714,124.43,3.43,3.28,7.64,44.84,26.54,328,210,340,625,55.85,1685,284,305,223,1319
8.96,497714,530184,513104,128.28,3.19,3.27,7.64,46.83,26.81,313,198,270,450,55.74,1757,239,395,378,1453
9.62,513104,541735,493023,123.26,3.65,3.29,7.65,46.31,26.06,262,189,223,551,55.25,1772,223,354,426,1271
8.61,493023,530852,513679,128.42,3.02,3.28,7.63,46.89,25.78,272,264,198,470,55.98,1807,204,287,498,1389
9.83,513679,546567,522391,130.6,3.43,3.27,7.63,46.37,26.63,248,330,298,492,56.63,1841,190,230,371,1463
9.78,522391,553257,518928,129.73,3.37,3.29,7.65,46.08,25.98,248,332,376,364,55.97,1829,182,220,449,1443
10.15,518928,550947,531420,132.85,3.36,3.28,7.64,46.51,26.39,220,274,421,376,56.1,1872,252,197,388,1551
9.85,531420,559251,514797,128.7,3.53,3.27,7.63,46.94,26.44,202,203,286,539,56.04,1842,299,256,373,1403
9.86,514797,548030,529265,132.32,3.39,3.28,7.64,47.04,25.94,174,190,378,447,55.96,1882,318,321,290,1524
8.76,529265,559137,540403,135.1,2.99,3.29,7.64,47.74,26.61,234,178,326,446,56.62,1896,260,365,295,1611
9.97,540403,567131,536402,134.1,3.37,3.3,7.66,47.42,26.17,275,248,328,347,56.5,1874,198,275,455,1570
9.75,536402,564310,541303,135.33,3.25,3.29,7.64,46.93,25.94,297,301,249,387,56.3,1874,184,341,367,1598
9.34,541303,567557,546306,136.58,3.11,3.3,7.65,47.58,26.66,254,336,239,391,56.76,1929,181,297,373,1600
9.74,546306,574684,548826,137.21,3.25,3.29,7.65,47.41,26.41,204,267,405,316,56.33,1965,254,286,303,1569
10.41,548826,580954,539675,134.92,3.5,3.27,7.63,46.5,25.76,194,303,319,412,55.68,1957,281,216,318,1477
8.65,539675,574695,553131,138.28,2.86,3.28,7.63,47.64,26.55,188,275,335,401,56.67,1968,300,214,319,1614
9.38,553131,582611,555775,138.94,3.1,3.27,7.62,47.61,26.7,250,259,277,424,56.67,1954,242,339,255,1651
10.32,555775,584410,552159,138.04,3.42,3.27,7.63,47.31,25.69,266,204,282,386,55.9,1958,286,290,328,1579
10.39,552159,583299,538827,134.71,3.52,3.25,7.6,46.71,26.21,296,190,250,533,56.24,1916,242,277,296,1481
9.94,538827,573002,534285,133.57,3.38,3.24,7.6,46.44,26.16,241,272,187,599,56.19,1931,229,219,322,1424
9.11,534285,572247,555708,138.93,3.01,3.26,7.61,46.88,26.33,266,243,247,510,56.39,1991,194,230,319,1649
9.25,555708,583943,559812,139.95,3.05,3.27,7.62,48.06,26.82,245,260,259,362,56.38,2004,186,222,462,1652
10.6,559812,589197,521122,130.28,3.89,3.27,7.62,45.93,26.35,385,202,249,517,55.94,1790,234,152,471,1411
9.16,521122,553843,530604,132.65,3.18,3.25,7.61,46.69,25.68,194,198,243,572,55.77,1998,212,205,378,1436
8.98,530604,568315,547974,136.99,3.05,3.26,7.61,46.89,26.88,176,188,358,593,56.68,2006,221,209,249,1547
9.27,547974,581898,560035,140.01,3.06,3.25,7.61,47.87,26.29,240,154,408,334,56.43,1990,201,238,435,1731
9.87,560035,584468,554487,138.62,3.26,3.27,7.63,47.86,26.25,212,207,316,372,56.14,1998,192,229,474,1682
9.77,554487,580644,559644,139.91,3.22,3.26,7.61,49.46,26.7,221,215,218,328,56.86,1991,192,323,512,1694
10.78,559644,585346,560441,140.11,3.4,3.29,7.64,48.0,26.12,206,232,376,295,56.4,2031,166,371,323,1657
10.54,560441,590183,524439,131.11,3.79,3.28,7.63,45.9,25.33,195,199,361,535,55.69,1982,206,250,272,1396
9.22,524439,564076,545172,136.29,3.07,3.27,7.62,45.96,26.26,192,260,395,542,56.44,1991,203,180,237,1497
