city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
bern,0.15,flatwise,0.0,449.42,10.19,0.45,20.24,3.05,17.19,0,0.09,68.8,894,0,2,1,0,0,2,101,94
bern,0.15,flatwise,0.0,461.43,10.07,0.46,16.64,2.98,13.66,0,0.08,79.7,0,0,0,1,894,0,4,101,97
bern,0.15,flatwise,0.0,467.88,9.55,0.47,16.64,2.52,14.12,0,0.08,90.56,0,0,0,1,894,0,3,102,101
bern,0.15,flatwise,0.0,473.01,9.92,0.47,9.48,2.85,6.63,0,0.08,101.34,0,0,0,2,894,0,2,102,101
bern,0.15,flatwise,0.0,479.03,10.05,0.48,18.43,2.93,15.5,0,0.09,47.75,0,894,0,4,0,0,0,102,102
bern,0.15,flatwise,1.32,519.67,10.09,0.52,16.64,2.96,13.68,0,0.09,58.54,0,894,0,3,0,0,0,103,102
bern,0.15,flatwise,0.0,560.34,10.22,0.56,14.84,3.14,11.7,0,0.09,69.33,0,894,0,2,0,0,0,104,102
bern,0.15,flatwise,0.0,602.76,10.11,0.6,13.05,2.98,10.07,0,0.09,80.12,0,0,0,0,0,894,0,106,103
bern,0.15,flatwise,1.32,643.99,10.17,0.64,11.26,3.03,8.23,0,0.09,90.89,0,0,0,0,0,894,0,106,104
bern,0.15,flatwise,0.0,684.83,10.25,0.68,9.47,3.07,6.4,0,0.09,101.66,0,0,0,0,0,894,0,106,106
bern,0.15,flatwise,0.0,695.31,10.03,0.7,18.41,2.88,15.53,0,0.08,74.84,0,0,894,0,0,0,0,106,106
bern,0.15,flatwise,1.32,1041.91,10.04,1.04,15.73,2.88,12.85,0,0.09,85.57,0,0,894,0,0,0,0,106,106
bern,0.15,flatwise,0.0,1357.08,10.29,1.36,13.05,3.16,9.89,0,0.09,96.3,0,0,894,0,0,0,0,106,106
